PPepDB-ID	Peptide Name	Plant Source	Peptide Family	Peptide Activity	Sequence Length	Molecular Weight	Validation	PMID/DOI
PPepDB_245	Tomato Snakin-2	Solanum lycopersicum	Snakin	Antibacterial, Antifungal	66	7012.09	Experimental evidence at protein level	--NA--
PPepDB_246	PaSn	Persea americana var. drymifolia	Snakin	Antibacterial	79	8565.8	Experimental evidence at protein level	--NA--
PPepDB_252	MsSN-1	Medicago sativa	Snakin	Antibacterial, Antifungal	66	7167.46	Experimental evidence at protein level	--NA--
PPepDB_256	CaThi	Capsicum annuum	Thionin	Antifungal	59	6702.08	Experimental evidence at protein level	--NA--
PPepDB_257	Thionin-like peptide 1	Capsicum annuum	Thionin	Antibacterial, Antifungal	66	7490.75	Experimental evidence at protein level	--NA--
PPepDB_258	Sa-AFP1	Salix alba	Defensin	Antifungal	50	5566.42	Experimental evidence at protein level	--NA--
PPepDB_259	At-AFP1	Arabidopsis thaliana	Defensin	Antifungal	50	5539.39	Experimental evidence at protein level	--NA--
PPepDB_260	Br-AFP1	Brassica rapa subsp. Chinensis	Defensin	Antifungal	50	5605.37	Experimental evidence at protein level	--NA--
PPepDB_261	Sa-AFP2	Salix alba	Defensin	Antifungal	50	5565.43	Experimental evidence at protein level	--NA--
PPepDB_264	Jaburetox-2Ec	Canavalia ensiformis	fragment of canatoxin	Antifungal, Insecticidal	93	10128.29	Experimental evidence at protein level	--NA--
PPepDB_265	Flo	Moringa oleifera	Cationic	Antibacterial	60	6781.63	Experimental evidence at protein level	--NA--
PPepDB_266	AhPDF1.1	Arabidopsis halleri	Defensin	Antifungal	51	5707.59	Experimental evidence at protein level	--NA--
PPepDB_267	MiAMP2c	Macadamia integrifolia	--NA--	Antifungal	68	8977.79	Experimental evidence at protein level	--NA--
PPepDB_273	Pm-AMP1	Pinus monticola	--NA--	Antifungal, Antimicrobial	79	8569.36	Experimental evidence at protein level	--NA--
PPepDB_277	Rs-AFP4	Raphanus sativus	Defensin	Antifungal	51	5747.53	Protein inferred from homology	--NA--
PPepDB_578	Tricyclon A protein (Fragment)	Viola tricolor, Viola ignobilis	Cyclotide	Antimicrobial	255	27194.14	Protein inferred from homology	--NA--
PPepDB_579	Cyclotide I (Fragment)	Hybanthus floribundus	Cyclotide	Antimicrobial	102	10735.7	Experimental evidence at transcript level	16199617
PPepDB_580	Cyclotide L (Fragment)	Hybanthus floribundus	Cyclotide	Antimicrobial	105	11294.25	Experimental evidence at transcript level	16199617
